ID,Start time,Completion time,Email,Name,Gender,Level/Year,Age,Your cumulative average (GPA),Before COVID-19: Which of the following digital tools do you usually use?,After COVID-19: Which of the following digital tools do you usually use?,Before COVID-19: How much time do you spend using the digital tools in learning?,After COVID-19: How much time do you spend using the digital tools in learning?,"Before COVID-19: I always use digital tools (mobile, laptop, i-pad) in studying.","After COVID-19: I always use digital tools (mobile, laptop, i-pad) in studying.","Before COVID-19: When I use the mobile phone, tablet or laptop in e-learning, I cannot concentrate and I am distracted.","After COVID-19: When I use the mobile phone, tablet or laptop in e-learning, I cannot concentrate and I am distracted.",Before COVID-19: I have fixed hours for bedtime and wake-up. ,After COVID-19: I have fixed hours for bedtime and wake-up. ,"Before COVID-19: Prolonged use of digital tools for learning (mobile, laptop, i-pad) affected my sleeping habits.","After COVID-19: Prolonged use of digital tools for learning (mobile, laptop, i-pad) affected my sleeping habits.",Before COVID-19: Continuous exposure to electronic screens in online learning is tiring and exhausting,After COVID-19: Continuous exposure to electronic screens in online learning is tiring and exhausting,"The distance learning system, caused by the COVID-19 epidemic, resulted in social distancing.","Prolonged use of digital tools (mobile, laptop, i-pad) causes students’ isolation ",University learning contributes to strengthening the social personality of students.,Staying home for long periods of time leads to lethargy and laziness.,"Prolonged use of e-learning tools often leads to boredom, nervousness, and tension.",The psychological element is a key factor in the success of the educational process.,"Some students cannot afford buying all necessary digital tools, which is embarrassing and frustrating.",I don’t recommend continuing with the online learning model because it is socially and psychologically unhealthy.,"Measures of lockdown, closures, and quarantine, brought by COVID-19 caused stress, frustration, and depression.",Use of digital learning tools is responsible for my low academic performance.,"The volume of assignments via e-learning led to confusion, frustration and poor performance. ",Face-to-face interaction contributes significantly to boosting students’ academic achievement.,Taking quizzes and exams online from home was not comfortable and made me nervous.
72,6/12/20 20:31:26,6/12/20 20:37:21,anonymous,,Female,Fourth/Senior,18-24,80-89 / 3-3.49,Mobile phone,Personal Computer,1-3 ,3-6,Disagree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Disagree,Strongly Agree,Disagree,Strongly Agree,"Agree	",Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree
73,6/12/20 20:31:26,6/12/20 20:37:22,anonymous,,Female,Fourth/Senior,18-24,80-89 / 3-3.49,Mobile phone,Personal Computer,1-3 ,3-6,Disagree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Disagree,Strongly Agree,Disagree,Strongly Agree,"Agree	",Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree
74,6/12/20 20:31:26,6/12/20 20:37:22,anonymous,,Female,Fourth/Senior,18-24,80-89 / 3-3.49,Mobile phone,Personal Computer,1-3 ,3-6,Disagree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Disagree,Strongly Agree,Disagree,Strongly Agree,"Agree	",Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree
75,6/12/20 20:31:26,6/12/20 20:37:22,anonymous,,Female,Fourth/Senior,18-24,80-89 / 3-3.49,Mobile phone,Personal Computer,1-3 ,3-6,Disagree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Disagree,Strongly Agree,Disagree,Strongly Agree,"Agree	",Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree
76,6/12/20 20:32:38,6/12/20 20:37:40,anonymous,,Female,First/Freshman,18-24,70-79 / 2.5-299,Laptop,Laptop,3-6,1-3 ,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,"Uncertain	",Strongly Agree,"Uncertain	",,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree
77,6/12/20 20:36:30,6/12/20 20:40:49,anonymous,,Female,First/Freshman,18-24,80-89 / 3-3.49,Mobile phone,Mobile phone,1-3 ,3-6,Agree,Disagree,Strongly Agree,Strongly Agree,Agree,Disagree,Agree,Strongly Agree,Uncertain,Strongly Agree,Disagree,"Agree	",Strongly Agree,"Agree	",Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
78,6/12/20 20:39:05,6/12/20 20:42:41,anonymous,,Male,First/Freshman,18-24,70-79 / 2.5-299,Mobile phone,Mobile phone,1-3 ,3-6,Uncertain,Strongly Agree,Uncertain,Agree,Agree,Disagree,Uncertain,Strongly Agree,Uncertain,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
79,6/12/20 20:39:08,6/12/20 20:43:20,anonymous,,Male,Second/ Sophomore,18-24,60-69 / 2-2.49,Mobile phone,Mobile phone,1-3 ,1-3 ,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Uncertain,Uncertain,Uncertain,Uncertain,"Agree	",Strongly Agree,"Agree	",Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
80,6/12/20 20:40:26,6/12/20 20:43:45,anonymous,,Female,Fourth/Senior,18-24,70-79 / 2.5-299,Mobile phone,Laptop,1-3 ,3-6,Strongly Agree,Strongly Agree,Uncertain,Uncertain,Strongly Agree,Disagree,Agree,Strongly Agree,Uncertain,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Uncertain,Agree,Uncertain
81,6/12/20 20:40:43,6/12/20 20:43:45,anonymous,,Female,Second/ Sophomore,18-24,80-89 / 3-3.49,Mobile phone,Laptop,1-3 ,3-6,Agree,Strongly Agree,Disagree,Disagree,Agree,Uncertain,Agree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Uncertain,Agree,Agree,Disagree,Disagree,Strongly Disagree,Disagree,Disagree,Strongly Disagree
82,6/12/20 20:39:04,6/12/20 20:43:49,anonymous,,Female,Second/ Sophomore,18-24,70-79 / 2.5-299,Mobile phone,Laptop,1-3 ,6-9,Agree,Strongly Agree,Disagree,Disagree,Uncertain,Uncertain,Uncertain,Agree,Strongly Agree,Strongly Agree,"Uncertain	","Agree	",Strongly Agree,"Agree	",Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree
83,6/12/20 20:39:26,6/12/20 20:43:50,anonymous,,Female,Third/Junior,18-24,80-89 / 3-3.49,Mobile phone,Laptop,1-3 ,+12,Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,"Uncertain	","Agree	",Agree,Agree,Strongly Agree,Uncertain,Agree,Disagree,Disagree,Agree,Strongly Disagree
84,6/12/20 20:37:51,6/12/20 20:43:53,anonymous,,Female,First/Freshman,18-24,80-89 / 3-3.49,Mobile phone,Mobile phone,3-6,1-3 ,Strongly Agree,Agree,Uncertain,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,"Agree	",Disagree,"Agree	","Agree	",Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Strongly Agree
85,6/12/20 20:40:31,6/12/20 20:44:19,anonymous,,Female,Second/ Sophomore,18-24,80-89 / 3-3.49,Mobile phone,Mobile phone,1-3 ,3-6,Agree,Strongly Agree,Agree,Disagree,Strongly Agree,Strongly Disagree,Disagree,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,"Agree	",Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree
